DateTime,AddedIPs,RemovedIPs
1521162164,223,181
1521163090,152,120
1521163802,266,0
1521164432,283,365
1521164967,7,0
1521165379,154,180
1521166427,244,154
1521166820,4,5
1521167549,523,175
1521168497,172,135
1521168750,2,2
1521169580,251,140
1521170653,137,156
1521171002,182,0
1521171614,264,139
1521172582,191,152
1521173538,216,108
1521174490,76,164
1521174602,40,0
1521175465,284,111
1521176438,218,203
1521177371,181,89
1521178347,252,250
1521179292,177,58
1521180268,171,221
1521181210,158,116
1521181802,54,0
1521182177,223,274
1521183129,178,163
1521184111,259,142
1521185050,110,152
1521185402,40,0
1521186013,205,138
1521186967,144,169
1521187950,286,136
1521188891,163,181
1521189002,61,0
1521189866,181,180
1521190817,202,202
1521191794,149,172
1521192738,228,140
1521193697,179,142
1521194657,108,151
1521195629,204,162
1521196202,61,0
1521196570,163,183
1521197541,137,139
1521198492,186,257
1521199458,86,134
1521199802,60,0
1521200409,255,134
1521201469,164,166
1521202573,212,236
1521203295,14,0
1521203537,255,189
1521204489,142,9
1521205227,3,11
1521205457,139,195
1521206411,210,92
1521207136,65,0
1521207381,298,242
1521208334,143,247
1521209056,2,4
1521209297,220,183
1521210267,183,144
1521210602,67,0
1521210975,4,2
1521211214,280,190
1521212175,74,126
1521212892,6,4
1521213147,244,177
1521214093,113,182
1521214202,55,0
1521215065,251,152
1521216020,148,185
1521216982,243,111
1521217946,215,324
1521218902,205,183
1521219857,204,174
1521220818,147,170
1521221402,130,0
1521221774,218,194
1521222748,178,243
1521223699,218,149
1521224668,197,252
1521225002,31,0
1521225613,212,172
1521226090,34,34
1521226584,145,270
1521227552,213,75
1521228502,181,287
1521228602,30,0
1521229460,166,128
1521230433,162,312
1521231376,204,172
1521232350,212,238
1521233295,156,192
1521234271,262,312
1521235211,454,237
1521235802,28,0
1521236191,554,195
1521237137,250,1402
1521237618,40,56
1521238118,518,213
1521239054,114,249
1521239402,29,0
1521240021,194,216
1521242219,362,793
1521243143,154,6
1521244102,185,223
1521245061,193,210
1521246031,145,269
1521246602,73,1540
1521246975,248,241
1521247960,131,243
1521248897,236,153
1521249868,133,301
1521250202,184,0
1521250825,202,6
1521251779,141,228
1521252743,174,294
1521253705,158,237
1521253802,207,0
1521254657,193,161
1521255634,168,245
1521256575,144,121
1521257559,321,295
1521258493,160,223
1521259466,199,217
1521260416,156,85
1521261002,25,0
1521261648,293,371
1521262571,71,241
1521263548,233,191
1521264491,87,238
1521264602,37,0
1521265485,258,182
1521266421,158,242
1521267407,152,166
1521268338,206,232
1521269315,127,145
1521270260,174,219
1521271231,116,116
1521271802,57,0
1521272174,169,282
1521273147,114,183
1521274096,174,330
1521275080,115,217
1521275402,79,0
1521276013,178,147
1521276980,102,180
1521277941,236,159
1521278900,107,163
1521279002,283,0
1521279871,146,171
1521280842,122,130
1521281788,214,274
1521282754,249,180
1521283760,132,180
1521284674,141,171
1521285614,123,104
1521286202,128,0
1521286598,172,215
1521287533,97,161
1521288533,195,216
1521289469,69,251
1521289802,46,0
1521290422,204,183
1521291373,60,138
1521292367,196,182
1521293292,63,214
1521293402,202,0
1521294264,216,142
1521295225,55,210
1521296194,228,257
1521297140,687,281
1521298102,131,76
1521299060,183,248
1521300030,135,96
1521300602,93,0
1521300974,160,303
1521301959,152,161
1521302896,197,204
1521303865,104,167
1521304202,422,0
1521304818,214,180
1521305792,59,242
1521306742,252,145
1521307729,184,252
1521307803,117,0
1521308719,192,123
1521309640,160,262
1521310572,160,175
1521311562,194,250
1521312496,163,135
1521313469,214,229
1521314414,168,188
1521315397,282,299
1521316333,158,189
1521317313,234,177
1521318338,162,211
1521318602,207,0
1521319220,5,1
1521319468,242,153
1521320419,170,221
1521321391,417,132
1521322339,677,178
1521323054,38,0
1521323317,166,114
1521324506,476,1389
1521325209,1,2
1521325454,112,103
1521326935,422,512
1521327379,6,2
1521327861,192,5
1521328819,165,142
1521329924,252,156
1521330302,22,0
1521330730,24,0
1521330971,113,136
1521331943,256,135
1521332901,99,220
1521333858,263,178
1521333902,103,1956
1521334815,141,230
1521335788,196,179
1521336738,134,260
1521337700,300,176
1521338659,173,204
1521339613,159,111
1521340590,199,212
1521341553,135,174
1521342496,156,112
1521343459,117,203
1521344418,252,157
1521344702,29,0
1521345389,70,246
1521346340,220,138
1521347298,90,342
1521348279,313,72
1521348302,23,0
1521349224,56,271
1521350171,210,81
1521351152,167,277
1521352094,281,181
1521353062,48,141
1521354011,221,176
1521355000,177,149
1521355502,40,0
1521355936,109,190
1521356897,264,132
1521357855,96,164
1521358820,242,132
1521359102,36,0
1521359770,105,205
1521360756,147,124
1521361695,58,165
1521362667,229,109
1521362702,48,0
1521363625,83,216
1521364586,199,131
1521365538,86,166
1521366496,221,137
1521367475,125,129
1521368418,127,155
1521369377,57,111
1521369902,60,0
1521370351,197,159
1521371297,170,134
1521372256,109,171
